School ID,District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,State,geometry,Student_Open_Date,Open_Year
295,Hartford School District,Global Communications Academy,Public Schools,643611,85 Edwards Street,Hartford,6112,860-695-6020,CT,POINT (-72.68210655376039 41.7753421),,
296,East Hartford School District,East Hartford Middle School,Public Schools,435111,777 Burnside Ave.,East Hartford,6108,860-622-5600,CT,POINT (-72.60368945634193 41.7785246),1997-01-07,1997
297,Hartford School District,Naylor/CCSU Leadership Academy,Public Schools,641411,639 Franklin Avenue,Hartford,6114,860-695-4620,CT,POINT (-72.6752216 41.7305327),1984-01-07,1984
298,New Hartford School District,Bakerville Consolidated School,Public Schools,920111,51 Cedar Ln.,New Hartford,6057,860-482-0288,CT,POINT (-73.0354853 41.833544),1984-01-07,1984
299,Regional School District 13,John Lyman School,Regional Schools,2130512,106 Way Rd.,Middlefield,6455,860-349-7240,CT,POINT (-72.72539637269652 41.51830595),2002-01-07,2002
300,Ridgefield School District,Branchville Elementary School,Public Schools,1180611,40 Florida Rd.,Ridgefield,6877,203-894-5850,CT,POINT (-73.44615729287483 41.27055510617882),1995-01-07,1995
301,Regional School District 08,Regional School District 08,Regional School Districts,2080012,85 Wall Street,Hebron,6248,860-228-2115,CT,POINT (-72.3653186925972 41.6644418),2002-01-07,2002
302,Stamford School District,Northeast School,Public Schools,1351811,82 Scofieldtown Rd.,Stamford,6903,203-977-4469,CT,POINT (-73.5469512 41.1224759),1984-01-07,1984
304,Achievement First Hartford Academy District,Achievement First Hartford Academy District,Public Charter School Districts,2880013,370 James Street,New Haven,6513,860-695-5280,CT,POINT (-72.9042581 41.3132619),,
305,Guilford School District,Melissa Jones School,Public Schools,600311,181 Ledge Hill Rd.,Guilford,6437,203-457-0773,CT,POINT (-72.7263389 41.3688914),1984-01-07,1984
306,Waterbury School District,Woodrow Wilson School,Public Schools,1513211,235 Birch St.,Waterbury,6704,203-573-6660,CT,POINT (-73.0198051 41.5561774),1997-01-07,1997
307,West Haven School District,Seth G. Haley School,Public Schools,1560411,148 South St.,West Haven,6516,203-931-6810,CT,POINT (-72.97748769061874 41.24204679357922),1984-01-07,1984
308,Connecticut Technical Education and Career System,H. C. Wilcox Technical High School,CT Technical Education and Career Schools,9001716,298 Oregon Rd.,Meriden,6450,203-238-6260,CT,POINT (-72.83077359004258 41.53117223750016),2000-01-07,2000
309,Waterbury School District,Bunker Hill School,Public Schools,1510611,170 Bunker Hill Ave.,Waterbury,6708,203-574-8183,CT,POINT (-73.06232402480971 41.56799615),1984-01-07,1984
310,Shelton School District,Shelton High School,Public Schools,1266111,120 Meadow St.,Shelton,6484,203-922-3004,CT,POINT (-73.1186657658352 41.31694295),1984-01-07,1984
311,Stratford School District,Wilcoxson School,Public Schools,1381411,600 Wilcoxson Avenue,Stratford,6614,203-385-4196,CT,POINT (-73.122288 41.207429),1984-01-07,1984
312,Wolcott School District,Alcott School,Public Schools,1660611,1490 Woodtick Rd.,Wolcott,6716,203-879-8160,CT,POINT (-72.95675980964029 41.62363305),1984-01-07,1984
313,South Windsor School District,Orchard Hill School,Public Schools,1320611,380 Foster St.,South Windsor,6074,860-648-5015,CT,POINT (-72.5267545 41.8296232),1984-01-07,1984
314,West Hartford School District,Bristow Middle School,Public Schools,1555311,34 Highland St.,West Hartford,6102,860-231-2100,CT,POINT (-72.717253 41.7679654),2005-01-07,2005
315,Granby School District,Granby Memorial High School,Public Schools,566111,54 North Granby Road,Granby,6035,860-844-3014,CT,POINT (-72.79595873662232 41.95901831913793),1984-01-07,1984
316,Essex School District,Essex School District,Public School Districts,500011,1 Winthrop Road,Deep River,6417,860-526-2417,CT,POINT (-72.4562226 41.3646322),1996-01-07,1996
317,Cooperative Educational Services,Cooperative Educational Services,Regional Education Service Center School Districts,2430014,40 Lindeman Drive,Trumbull,6611,203-365-8803,CT,POINT (-73.1996097 41.2332238),2000-01-07,2000
318,Trumbull School District,Tashua School,Public Schools,1440911,401 Stonehouse Rd.,Trumbull,6611,203-452-4433,CT,POINT (-73.2430987 41.2747553),1984-01-07,1984
319,Hamden School District,Hamden Middle School,Public Schools,625211,2623 Dixwell Ave.,Hamden,6518,203-407-3140,CT,POINT (-72.91179069113286 41.37871635),1984-01-07,1984
320,Bethel School District,Ralph M. T. Johnson School,Public Schools,90511,500 Whittlesey Dr.,Bethel,6801,203-794-8700,CT,POINT (-73.3965549 41.3840241),1984-01-07,1984
322,Connecticut Technical Education and Career System,Bullard-Havens Technical High School,CT Technical Education and Career Schools,9001116,500 Palisade Ave.,Bridgeport,6610,203-579-6333,CT,POINT (-73.16358944060909 41.20004665),2000-01-07,2000
323,New Milford School District,New Milford High School,Public Schools,966111,388 Danbury Rd.,New Milford,6776,860-350-6647,CT,POINT (-73.4248818 41.5269938),1984-01-07,1984
324,Danbury School District,Hayestown Avenue School,Public Schools,340211,42 Tamarack Ave.,Danbury,6811,203-797-4771,CT,POINT (-73.45206034097029 41.4149244),1984-01-07,1984
325,Stratford School District,Franklin School,Public Schools,1380411,1895 Barnum Avenue,Stratford,6615,203-385-4190,CT,POINT (-73.14619355260392 41.19311678318807),1984-01-07,1984
326,New Haven School District,Family Academy of Multilingual Exploration,Public Schools,934111,255 Blatchley Ave.,New Haven,6513,475-220-2500,CT,POINT (-72.8988326 41.3094556),1984-01-07,1984
327,Hartford School District,Capital Preparatory Magnet School,Public Schools,646911,1304 Main Street,Hartford,6103,860-695-9800,CT,POINT (-72.67529714688911 41.7721633),2005-01-07,2005
328,Glastonbury School District,Glastonbury High School,Public Schools,546111,330 Hubbard St.,Glastonbury,6033,860-652-7200,CT,POINT (-72.59057068811434 41.7006153),1984-01-07,1984
329,Bridgeport School District,Read School,Public Schools,152511,130 Ezra St.,Bridgeport,6606,203-576-8030,CT,POINT (-73.19857228543903 41.20285005),1984-01-07,1984
331,Derby School District,Derby Middle School,Public Schools,375011,73 Chatfield Street,Derby,6418,203-736-1426,CT,POINT (-73.09894709787291 41.33497089332873),2010-04-01,2010
332,Lebanon School District,Lebanon School District,Public School Districts,710011,891 Exeter Road,Lebanon,6249,860-642-7795,CT,POINT (-72.2382541 41.6264601),1996-01-07,1996
333,Portland School District,Portland School District,Public School Districts,1130011,33 East Main Street,Portland,6480,860-342-6790,CT,POINT (-72.6343852 41.575425),1996-01-07,1996
334,Norwalk School District,Cranbury Elementary School,Public Schools,1030411,10 Knowalot Lane,Norwalk,6851,203-846-3600,CT,POINT (-73.40344173621264 41.15539821596366),1984-01-07,1984
335,Madison School District,Daniel Hand High School,Public Schools,766111,286 Green Hill Rd.,Madison,6443,203-245-6350,CT,POINT (-72.61938300725302 41.29351425),1984-01-07,1984
336,Fairfield School District,Fairfield Woods Middle School,Public Schools,515211,1115 Fairfield Woods Rd.,Fairfield,6824,203-255-8334,CT,POINT (-73.2482191 41.1866771),1984-01-07,1984
337,Stafford School District,Stafford High School,Public Schools,1346111,145 Orcuttville Rd.,Stafford Springs,6076,860-684-4233,CT,POINT (-72.306111443809 41.97034345),1984-01-07,1984
338,Berlin School District,Catherine M. McGee Middle School,Public Schools,75111,899 Norton Rd.,Berlin,6037,860-828-0323,CT,POINT (-72.7631762 41.6160731),1984-01-07,1984
339,Colchester School District,Jack Jackter Intermediate School,Public Schools,280211,215 Halls Hill Rd.,Colchester,6415,860-537-9421,CT,POINT (-72.32174907484901 41.5721069),1984-01-07,1984
340,Danbury School District,Park Avenue School,Public Schools,340811,82 Park Ave.,Danbury,6810,203-797-4763,CT,POINT (-73.46153127180756 41.3861182),1984-01-07,1984
341,Stonington School District,West Vine Street School,Public Schools,1370611,17 West Vine St.,Pawcatuck,6379,860-599-5832,CT,POINT (-71.8421324 41.3863683),1984-01-07,1984
342,Scotland School District,Scotland School District,Public School Districts,1230011,68 Brook Road,Scotland,6264,860-423-0064,CT,POINT (-72.08098661009001 41.70355485),1996-01-07,1996
343,Bloomfield School District,Laurel Literacy Academy,Public Schools,110611,1 Filley St.,Bloomfield,6002,860-286-2675,CT,POINT (-72.72388829130662 41.83825065),2012-01-07,2012
344,The Woodstock Academy District,The Woodstock Academy District,Endowed and Incorporated Academies Districts,9030022,57 Academy Road,Woodstock,6281,860-928-6575,CT,POINT (-71.97312686702469 41.9527722),2000-01-07,2000
345,Bristol School District,Ellen P. Hubbell School,Public Schools,171411,90 West Washington St.,Bristol,6010,860-584-7842,CT,POINT (-72.908206 41.6788343),1998-01-07,1998
346,Waterbury School District,Waterbury Arts Magnet School,Public Schools,1516011,16 South Elm St.,Waterbury,6706,203-573-6300,CT,POINT (-73.0380903693038 41.5546674),2005-01-07,2005
347,Middletown School District,Lawrence School,Public Schools,831311,Kaplan Dr.,Middletown,6457,860-632-2158,CT,POINT (-72.6816718 41.5850846),1984-01-07,1984
348,East Haven School District,Overbrook Early Learning Center,Public Schools,441811,54 Gerrish Ave.,East Haven,6512,203-468-3305,CT,POINT (-72.88040562000037 41.28013575),2001-01-07,2001
349,Tolland School District,Tolland Intermediate School,Public Schools,1420211,96 Old Post RD,Tolland,6084,860-870-6885,CT,POINT (-72.37139323722764 41.8697895),1984-01-07,1984
350,New Haven School District,Betsy Ross Arts Magnet School,Public Schools,935511,150 Kimberly Ave.,New Haven,6519,475-220-5300,CT,POINT (-72.9341712 41.2889431),1984-01-07,1984
352,Regional School District 04,John Winthrop Middle School,Regional Schools,2045112,1 Winthrop Road,Deep River,6417,860-526-9546,CT,POINT (-72.4562226 41.3646322),2002-01-07,2002
353,Enfield School District,Enfield Street School,Public Schools,490211,1318 Enfield St.,Enfield,6082,860-253-6565,CT,POINT (-72.5937383 41.9764129),1984-01-07,1984
354,East Granby School District,Allgrove School,Public Schools,400111,33 Turkey Hills Rd.,East Granby,6026,860-653-2505,CT,POINT (-72.73256176157517 41.9432122),1984-01-07,1984
355,Hartford School District,Environmental Sciences Magnet at Hooker School,Public Schools,640911,440 Broadview Terrace,Hartford,6106,860-695-3760,CT,POINT (-72.70266235174898 41.7417629),1984-01-07,1984
356,North Stonington School District,Wheeler High School,Public Schools,1026111,297 Norwich/Westerly Rd.,North Stonington,6359,860-535-0377,CT,POINT (-71.88506876681141 41.438976571181875),1984-01-07,1984
357,Wallingford School District,Wallingford School District,Public School Districts,1480011,100 South Turnpike Road,Wallingford,6492,203-949-6500,CT,POINT (-72.8441897 41.4467448),1996-01-07,1996
358,Torrington School District,Southwest School,Public Schools,1430811,340 Litchfield St.,Torrington,6790,860-489-2311,CT,POINT (-73.1270571 41.7951148),1984-01-07,1984
359,Manchester School District,Verplanck School,Public Schools,771211,126 Olcott Street,Manchester,6040,860-647-3383,CT,POINT (-72.5539313 41.7727708),1984-01-07,1984
360,Bristol School District,Chippens Hill Middle School,Public Schools,175111,551 Peacedale St.,Bristol,6010,860-584-3881,CT,POINT (-72.9652104 41.6991182),1992-01-07,1992
363,New London School District,New London School District,Public School Districts,950011,134 Williams Street,New London,6320,860-447-6000,CT,POINT (-72.106313 41.3578272),1996-01-07,1996
364,New Canaan School District,New Canaan School District,Public School Districts,900011,39 Locust Avenue,New Canaan,6840,203-594-4018,CT,POINT (-73.49168470944736 41.1488942),1996-01-07,1996
365,Stratford School District,Stratford High School,Public Schools,1386111,245 King Street,Stratford,6615,203-385-4230,CT,POINT (-73.1346379130108 41.19614945273993),1984-01-07,1984
366,Wallingford School District,James H. Moran Middle School,Public Schools,1485311,141 Hope Hill Road,Wallingford,6492,203-741-2900,CT,POINT (-72.83115096578665 41.4850754),1984-01-07,1984
367,Achievement First Bridgeport Academy District,Achievement First Bridgeport Academy District,Public Charter School Districts,2850013,370 James Street,New Haven,6513,203-333-9128,CT,POINT (-72.9042581 41.3132619),2007-02-08,2007
368,Middletown School District,Spencer School,Public Schools,830111,207 Westfield St.,Middletown,6457,860-344-0711,CT,POINT (-72.67676704359134 41.563634821334745),1990-01-07,1990
369,Montville School District,Oakdale School,Public Schools,860511,30 Indiana Circle,Oakdale,6370,860-859-1800,CT,POINT (-72.19169741803327 41.4708969),1984-01-07,1984
370,Regional School District 15,Long Meadow Elementary School,Regional Schools,2150712,65 North Benson Rd.,Middlebury,6762,203-758-1144,CT,POINT (-73.15482026941568 41.5039455),2002-01-07,2002
371,Woodstock School District,Woodstock Elementary School,Public Schools,1690211,24 Frog Pond Rd.,Woodstock,6281,860-928-0471,CT,POINT (-71.9627367 41.9442335),1984-01-07,1984
372,Somers School District,Somers School District,Public School Districts,1290011,1 Vision Blvd,Somers,6071,860-749-2270,CT,POINT (-72.4613111 41.9787843),1996-01-07,1996
374,Department of Mental Health and Addiction Services,Connecticut Valley Hospital,State Agency Facilities,3370215,1000 Silver St.,Middletown,6457,860-262-7175,CT,POINT (-72.6379425 41.5522531),2007-01-07,2007
375,New Haven School District,Benjamin Jepson Magnet School,Public Schools,931811,15 Lexington Ave.,New Haven,6513,475-220-2900,CT,POINT (-72.888226 41.2980246),1990-01-07,1990
376,Area Cooperative Educational Services,ACES at Chase,Regional Education Service Center Schools,2445114,565 Chase Parkway,Waterbury,6708,203-639-8403,CT,POINT (-73.06588725130729 41.54525345),2001-01-07,2001
377,Ridgefield School District,Veterans Park Elementary School,Public Schools,1180211,8 Governor St.,Ridgefield,6877,203-894-5525,CT,POINT (-73.49641584126148 41.2795247),1984-01-07,1984
378,Meriden School District,Lincoln Middle School,Public Schools,805211,164 Centennial Ave.,Meriden,6450,203-238-2381,CT,POINT (-72.8242831 41.5373722),1984-01-07,1984
379,Thompson School District,Mary R. Fisher Elementary School,Public Schools,1410111,785 Riverside Dr.,North Grosvenordale,6255,860-923-9142,CT,POINT (-71.89787309538576 41.97743775),1984-01-07,1984
381,Westport School District,Long Lots School,Public Schools,1580711,13 Hyde Ln.,Westport,6880,203-341-1910,CT,POINT (-73.3150731 41.1433619),1997-01-07,1997
382,Windsor School District,Windsor High School,Public Schools,1646111,50 Sage Park Rd.,Windsor,6095,860-687-2020,CT,POINT (-72.6557922107456 41.8436493),1984-01-07,1984
383,Farmington School District,Irving A. Robbins Middle School,Public Schools,525111,20 Wolf Pit Rd.,Farmington,6032,860-677-2683,CT,POINT (-72.7983414 41.7204754),1984-01-07,1984
384,East Haven School District,Deer Run School,Public Schools,440111,311 Foxon Rd.,East Haven,6512,203-468-3324,CT,POINT (-72.83534070276906 41.32833565),1984-01-07,1984
385,Capitol Region Education Council,Glastonbury/East Hartford Magnet School,Regional Education Service Center Schools,2410114,95 Oak Street,Glastonbury,6033,860-633-4455,CT,POINT (-72.5946342 41.708823),2000-01-07,2000
386,New Britain School District,Pulaski Middle School,Public Schools,895311,757 Farmington Ave.,New Britain,6053,860-225-7665,CT,POINT (-72.78826076535442 41.698868),1997-01-07,1997
387,Shelton School District,Mohegan School,Public Schools,1260911,47 Mohegan Rd.,Shelton,6484,203-929-4121,CT,POINT (-73.1699033 41.3042805),1984-01-07,1984
388,Newington School District,Ruth Chaffee School,Public Schools,940711,160 Superior Ave.,Newington,6111,860-666-4687,CT,POINT (-72.7153594 41.6830048),1984-01-07,1984
389,Portland School District,Portland Middle School,Public Schools,1135111,93 High Street,Portland,6480,860-342-1880,CT,POINT (-72.6219868 41.5802118),1984-01-07,1984
390,Regional School District 17,Burr District Elementary School,Regional Schools,2170212,792 Killingworth Road,Higganum,6441,860-345-4584,CT,POINT (-72.55536104611058 41.4458026495597),2002-01-07,2002
391,Norwich Free Academy District,Norwich Free Academy District,Endowed and Incorporated Academies Districts,9010022,305 Broadway,Norwich,6360,860-887-2505,CT,POINT (-72.08038405156037 41.53811715),2000-01-07,2000
392,Vernon School District,Center Road School,Public Schools,1461411,20 Center Rd.,Vernon,6066,860-870-6300,CT,POINT (-72.46660981509825 41.839614),1984-01-07,1984
393,Interdistrict School for Arts and Comm District,Interdistrict School for Arts and Comm District,Public Charter School Districts,2650013,190 Governor Winthrop Blvd.,New London,6320,860-447-1003,CT,POINT (-72.09815155858001 41.35569015),,
394,Greenwich School District,Western Middle School,Public Schools,575311,1 Western Junior Hwy.,Greenwich,6830,203-531-5700,CT,POINT (-73.6497629 41.0109945),1984-01-07,1984
395,Norwich School District,Bishop School Early Learning Center,Public Schools,1040111,526 East Main St.,Norwich,6360,860-823-4201,CT,POINT (-72.06253676907865 41.5229398),1984-01-07,1984
396,West Hartford School District,Aiken School,Public Schools,1551611,212 King Philip Dr.,West Hartford,6117,860-233-6994,CT,POINT (-72.7446715 41.8007836),1990-01-07,1990
397,Windsor Locks School District,Windsor Locks High School,Public Schools,1656111,58 South Elm St.,Windsor Locks,6096,860-292-5032,CT,POINT (-72.64346860647494 41.91988715),1984-01-07,1984
398,Cromwell School District,Cromwell Middle School,Public Schools,335111,6 Captain James Mann Memorial Dr.,Cromwell,6416,860-632-4853,CT,POINT (-72.6576549028839 41.62762185),1984-01-07,1984
400,Capitol Region Education Council,Discovery Academy,Regional Education Service Center Schools,2418114,176 Cumberland Avenue,Wethersfield,6109,860-296-2090,CT,POINT (-72.67522025662834 41.7204358),,
401,Regional School District 13,Regional School District 13,Regional School Districts,2130012,135-A Pickett Lane,Durham,6422,860-349-7200,CT,POINT (-72.6745935 41.4755562),2002-01-07,2002
402,Capitol Region Education Council,Ana Grace Academy of the Arts,Regional Education Service Center Schools,2410614,129 Griffin Road North,Bloomfield,6002,860-677-0380,CT,POINT (-72.7392413 41.8844073),,
403,Connecticut Technical Education and Career System,J. M. Wright Technical High School,CT Technical Education and Career Schools,9002116,120 Bridge St.,Stamford,6905,203-324-7363,CT,POINT (-73.54716999718462 41.06136465),,
404,Salem School District,Salem School District,Public School Districts,1210011,200 Hartford Road,Salem,6420,860-892-1223,CT,POINT (-72.273801 41.4879775),1996-01-07,1996
405,Wethersfield School District,Emerson-Williams School,Public Schools,1590211,461 Wells Rd.,Wethersfield,6109,860-571-8360,CT,POINT (-72.68057719875068 41.7033258),1984-01-07,1984
406,Killingly School District,Killingly Central School,Public Schools,690111,60 Soap St.,Dayville,6241,860-779-6750,CT,POINT (-71.8837177 41.8490812),1999-01-07,1999
407,Avon School District,Avon School District,Public School Districts,40011,34 Simsbury Road,Avon,6001,860-404-4700,CT,POINT (-72.8297774 41.8119462),1996-01-07,1996
408,Regional School District 18,Mile Creek School,Regional Schools,2180212,205 Mile Creek Rd.,Old Lyme,6371,860-434-2209,CT,POINT (-72.28339863220971 41.2965003424691),2002-01-07,2002
409,Derby School District,Derby School District,Public School Districts,370011,35 Fifth Street,Derby,6418,203-736-5027,CT,POINT (-73.09086461114615 41.322963546405774),1996-01-07,1996
410,Windsor School District,Windsor School District,Public School Districts,1640011,601 Matianuck Avenue,Windsor,6095,860-687-2000,CT,POINT (-72.673192 41.824037),1996-01-07,1996
411,Hartford School District,Classical Magnet School,Public Schools,646411,85 Woodland Street,Hartford,6105,860-695-9100,CT,POINT (-72.7026054 41.7731516),1995-01-07,1995
412,Bridgeport School District,Black Rock School,Public Schools,150311,545 Brewster St.,Bridgeport,6605,203-576-7500,CT,POINT (-73.22616991921063 41.1563353),1984-01-07,1984
414,Hartford School District,SAND School,Public Schools,640111,1750 Main Street,Hartford,6120,860-695-5040,CT,POINT (-72.6758474 41.7790683),1984-01-07,1984
415,Danbury School District,King Street Primary School,Public Schools,341311,151 South King St.,Danbury,6811,203-797-4744,CT,POINT (-73.50020011338245 41.4244293),1984-01-07,1984
416,New Milford School District,New Milford School District,Public School Districts,960011,50 East Street,New Milford,6776,860-355-8406,CT,POINT (-73.4079253 41.5802244),1996-01-07,1996
419,North Branford School District,Jerome Harrison School,Public Schools,990411,335 Foxon Rd.,North Branford,6471,203-484-1235,CT,POINT (-72.810816 41.3280034),1984-01-07,1984
420,Sprague School District,Sayles School,Public Schools,1330111,25 Scotland Road,Baltic,6330,860-822-8264,CT,POINT (-72.08583297323483 41.6231168),1984-01-07,1984
422,Capitol Region Education Council,Academy of International Studies 6-12,Regional Education Service Center Schools,2416114,1551 Blue Hills Ave.,Bloomfield,6002,860-242-7834,CT,POINT (-72.72666604165046 41.86984385),2000-01-07,2000
423,Naugatuck School District,Maple Hill School,Public Schools,880311,641 Maple Hill Rd.,Naugatuck,6770,203-720-5236,CT,POINT (-73.0176589 41.4889668),1989-01-07,1989
424,Willington School District,Hall Memorial School,Public Schools,1605111,111 River Rd.,West Willington,6279,860-429-9391,CT,POINT (-72.3019236 41.881673),1997-01-07,1997
425,Trumbull School District,Trumbull School District,Public School Districts,1440011,6254 Main Street,Trumbull,6611,203-452-4301,CT,POINT (-73.2250296 41.2690198),1996-01-07,1996
426,Brooklyn School District,Brooklyn Middle School,Public Schools,195111,119 Gorman Rd.,Brooklyn,6234,860-774-9153,CT,POINT (-71.93643000185398 41.78538985),1984-01-07,1984
427,Groton School District,Charles Barnum Magnet School,Public Schools,591811,68 Briar Hill Rd.,Groton,6340,860-449-5640,CT,POINT (-72.0675404 41.3847976),1984-01-07,1984
428,Milford School District,Milford School District,Public School Districts,840011,70 West River Street,Milford,6460,203-783-3402,CT,POINT (-73.0593119831054 41.2259188),1996-01-07,1996
429,Enfield School District,Eli Whitney School,Public Schools,491611,94 Middle Rd.,Enfield,6082,860-763-7540,CT,POINT (-72.55686759379229 41.9853724066727),1984-01-07,1984
430,Wallingford School District,Mary G. Fritz Elementary School of Yalesville,Public Schools,1480811,415 Church Street,Yalesville,6492,203-284-6900,CT,POINT (-72.824158 41.491313),1984-01-07,1984
431,Achievement First Bridgeport Academy District,Achievement First Bridgeport Academy,Public Charter Schools,2850113,655 Stillman St.,Bridgeport,6608,203-338-0593,CT,POINT (-73.1760524 41.1926164),2007-02-08,2007
432,Woodstock School District,Woodstock Middle School,Public Schools,1695111,147 B-Route 169,Woodstock,6281,860-963-6575,CT,POINT (-72.0100215 42.0269172),1995-01-07,1995
433,Regional School District 15,Pomperaug Regional High School,Regional Schools,2156212,234 Judd Rd.,Southbury,6488,203-262-3200,CT,POINT (-73.1609344 41.5024593),2002-01-07,2002
434,Monroe School District,Fawn Hollow Elementary School,Public Schools,850511,375 Fan Hill Rd.,Monroe,6468,203-452-2923,CT,POINT (-73.23080673214054 41.3466660953926),1984-01-07,1984
435,Cheshire School District,Darcey School,Public Schools,250211,1686 Waterbury Rd.,Cheshire,6410,203-272-3577,CT,POINT (-72.940402 41.537069),1984-01-07,1984
436,East Haven School District,Momauguin School,Public Schools,440711,99 Cosey Beach Rd.,East Haven,6512,203-468-3321,CT,POINT (-72.871856 41.248156),1984-01-07,1984
437,Guilford School District,Guilford High School,Public Schools,606111,605 New England Rd.,Guilford,6437,203-453-2741,CT,POINT (-72.71295588348337 41.31376512621191),1984-01-07,1984
438,Watertown School District,Watertown High School,Public Schools,1536111,324 French St.,Watertown,6795,860-945-4810,CT,POINT (-73.10245670955362 41.59411865),1984-01-07,1984
439,Bridgeport School District,Wilbur Cross School,Public Schools,153911,1775 Reservoir Ave.,Bridgeport,6606,203-275-2100,CT,POINT (-73.1950053 41.2250002),1984-01-07,1984
440,New Haven School District,Brennan Rogers School,Public Schools,932111,200 Wilmot Rd.,New Haven,6515,475-220-2200,CT,POINT (-72.9587647 41.344016),2010-01-07,2010
441,Simsbury School District,Latimer Lane School,Public Schools,1280611,33 Mountain View Rd.,Weatogue,6089,860-658-4774,CT,POINT (-72.82124388488315 41.84127567782554),1984-01-07,1984
443,Derby School District,Derby High School,Public Schools,376111,75 Chatfield Street,Derby,6418,203-736-5032,CT,POINT (-73.09886276823353 41.335066820750676),1984-01-07,1984
444,New Haven School District,New Haven School District,Public School Districts,930011,54 Meadow Street,New Haven,6519,475-220-1000,CT,POINT (-72.9262862 41.2998773),1996-01-07,1996
445,Oxford School District,Oxford School District,Public School Districts,1080011,462 Oxford Road,Oxford,6478,203-888-7754,CT,POINT (-73.1186221 41.4374716),1996-01-07,1996
446,Waterbury School District,Duggan School,Public Schools,1511611,952 Bank Street,Waterbury,6708,203-574-8875,CT,POINT (-73.0469297 41.5434762),,
449,Milford School District,Live Oaks School,Public Schools,841611,575 Merwin Ave.,Milford,6460,203-783-3564,CT,POINT (-72.9953815 41.2378751),1984-01-07,1984
451,New Canaan School District,Saxe Middle School,Public Schools,905111,468 South Ave.,New Canaan,6840,203-594-4564,CT,POINT (-73.4854889 41.1317835),1984-01-07,1984
452,Monroe School District,Jockey Hollow School,Public Schools,855211,365 Fan Hill Rd.,Monroe,6468,203-452-2905,CT,POINT (-73.2335329 41.3438125),1998-01-07,1998
453,Windsor Locks School District,Windsor Locks Middle School,Public Schools,1655111,7 Center St.,Windsor Locks,6096,860-292-5012,CT,POINT (-72.6318142873675 41.92777445),1984-01-07,1984
454,Judicial Centers,Hartford Residential Center,State Agency Facilities,3480315,920 Broad St.,Hartford,6106,860-244-7965,CT,POINT (-72.68628902286983 41.75682915),,
455,New London School District,New London Visual and Performing Arts Magnet School,Public Schools,951411,36 Waller Street,New London,6320,860-449-6800,CT,POINT (-72.1069808 41.3581612),2016-01-09,2016
457,Regional School District 06,Goshen Center School,Regional Schools,2060112,50 North St.,Goshen,6756,860-491-6020,CT,POINT (-73.227171 41.8349519),2002-01-07,2002
458,Westport School District,Westport School District,Public School Districts,1580011,110 Myrtle Avenue,Westport,6880,203-341-1025,CT,POINT (-73.35994250022787 41.1450981),1996-01-07,1996
459,New Beginnings Inc Family Academy District,New Beginnings Inc Family Academy District,Public Charter School Districts,2800013,184 Garden St.,Bridgeport,6605,203-384-2897,CT,POINT (-73.19895913049942 41.1698456),2002-01-07,2002
460,New Haven School District,Nathan Hale School,Public Schools,931411,480 Townsend Ave.,New Haven,6512,475-220-4200,CT,POINT (-72.8976499 41.2695218),1984-01-07,1984
461,East Hartford School District,Dr. Franklin H. Mayberry School,Public Schools,430611,101 Great Hill Rd.,East Hartford,6108,860-622-5720,CT,POINT (-72.59633849018692 41.7749698),1984-01-07,1984
462,Redding School District,Redding School District,Public School Districts,1170011,654 Morehouse Road,Easton,6612,203-261-2513,CT,POINT (-73.29475556926845 41.24979732015198),1996-01-07,1996
463,North Haven School District,North Haven High School,Public Schools,1016111,221 Elm Street,North Haven,6473,203-239-1641,CT,POINT (-72.8625645 41.3730647),1984-01-07,1984
464,Thomaston School District,Thomaston School District,Public School Districts,1400011,185 Branch Road,Thomaston,6787,860-283-3053,CT,POINT (-73.09391082213806 41.65785449989002),1996-01-07,1996
465,Hartford School District,Bulkeley High School,Public Schools,647111,395 Lyme Street,Hartford,6112,860-695-1011,CT,POINT (-72.7044282 41.803952),2009-01-07,2009
466,Capitol Region Education Council,Montessori Magnet School,Regional Education Service Center Schools,2413114,1460 Broad St.,Hartford,6106,860-757-6100,CT,POINT (-72.6865791 41.7495633),2000-01-07,2000
468,Winchester School District,Pearson School,Public Schools,1625111,2 Wetmore Ave.,Winsted,6098,860-379-7588,CT,POINT (-73.067564 41.9260811),1997-01-07,1997
469,Regional School District 18,Lyme-Old Lyme High School,Regional Schools,2186112,69 Lyme St.,Old Lyme,6371,860-434-1651,CT,POINT (-72.32641703534534 41.3183584),2002-01-07,2002
470,Wethersfield School District,Silas Deane Middle School,Public Schools,1595211,551 Silas Deane Hwy.,Wethersfield,6109,860-571-8300,CT,POINT (-72.6639582 41.7105643),1984-01-07,1984
472,New Britain School District,Smalley Elementary School,Public Schools,891211,175 West St.,New Britain,6051,860-225-8647,CT,POINT (-72.77143871200408 41.6766736),1984-01-07,1984
473,Side By Side Charter School District,Side By Side Charter School,Public Charter Schools,2700113,10 Chestnut St.,Norwalk,6854,203-857-0306,CT,POINT (-73.42015756366737 41.09598684185112),1997-01-07,1997
475,Connecticut Technical Education and Career System,Emmett O'Brien Technical High School,CT Technical Education and Career Schools,9002516,141 Prindle Ave.,Ansonia,6401,203-732-1800,CT,POINT (-73.06400126774923 41.33430234945581),2000-01-07,2000
