District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,Student Open Date,School ID,State
Suffield School District,A. Ward Spaulding School,Public Schools,1390411,945 Mountain Rd.,Suffield,6078,860-668-3826,01-07-1984,209,CT
Brookfield School District,Brookfield High School,Public Schools,186111,45 Long Meadow Hill Rd.,Brookfield,6804,203-775-7725,01-07-1984,210,CT
Easton School District,Easton School District,Public School Districts,460011,654 Morehouse Road,Easton,6612,203-261-2513,01-07-1996,211,CT
Chaplin School District,Chaplin Elementary School,Public Schools,240211,240 Palmer Rd.,Chaplin,6235,860-455-9593,01-07-1992,212,CT
New Britain School District,DiLoreto Elementary & Middle School,Public Schools,891111,732 Slater Rd.,New Britain,6053,860-223-2885,01-07-1984,213,CT
Explorations District,Explorations District,Public Charter School Districts,2720013,71 Spencer St.,Winsted,6098,860-738-9070,01-07-1999,214,CT
Westbrook School District,Westbrook High School,Public Schools,1546111,156 McVeagh Rd.,Westbrook,6498,860-399-6214,01-07-1984,215,CT
Wolcott School District,Wakelee School,Public Schools,1660511,12 Hempel Dr.,Wolcott,6716,203-879-8154,01-07-1984,216,CT
Hamden School District,West Woods School,Public Schools,621411,350 West Todd St.,Hamden,6518,203-407-2050,01-07-1984,217,CT
New Haven School District,New Haven Academy,Public Schools,937011,444 Orange Street,New Haven,6511,475-220-6600,01-07-1995,218,CT
Stamford School District,Scofield Middle School,Public Schools,1355711,641 Scofieldtown Rd.,Stamford,6903,203-977-2750,01-07-1990,219,CT
Bridgeport School District,Bassick High School,Public Schools,156111,1181 Fairfield Ave.,Bridgeport,6605,203-576-7350,01-07-1984,220,CT
Hartford School District,Hartford PreKindergarten Magnet School: South Campus,Public Schools,641610,195 Putnam Street,Hartford,6106,860-695-5820,01-07-2022,221,CT
Weston School District,Hurlbutt Elementary School,Public Schools,1570111,9 School Rd.,Weston,6883,203-221-6300,01-07-1984,222,CT
Unified School District #1,Cheshire Correctional Institution,State Agency Facilities,3360315,900 Highland Ave.,Cheshire,6410,203-651-6247,01-07-2000,223,CT
Regional School District 09,Joel Barlow High School,Regional Schools,2096112,100 Black Rock Tpke.,Redding,6896,203-938-2508,01-07-2002,224,CT
Stratford School District,Lordship School,Public Schools,1380811,254 Crown Street,Stratford,6615,203-385-4170,01-07-1984,225,CT
Waterbury School District,Washington School,Public Schools,1512311,685 Baldwin St.,Waterbury,6706,203-574-8177,01-07-1984,226,CT
Milford School District,East Shore Middle School,Public Schools,845111,240 Chapel St.,Milford,6460,203-783-3559,01-07-1997,227,CT
Newtown School District,Middle Gate Elementary School,Public Schools,970311,7 Cold Spring Rd.,Newtown,6470,203-426-7662,01-07-1984,228,CT
Wethersfield School District,Alfred W. Hanmer School,Public Schools,1590811,50 Francis St.,Wethersfield,6109,860-571-8370,01-07-1984,229,CT
Southington School District,R. E. Thalberg Elementary School,Public Schools,1310911,145 Dunham Rd.,Southington,6489,860-628-3370,01-07-1984,230,CT
Coventry School District,Coventry School District,Public School Districts,320011,1700 Main Street,Coventry,6238,860-742-7317,01-07-1984,231,CT
Hebron School District,Hebron School District,Public School Districts,670011,580 Gilead Street,Hebron,6248,860-228-2577,01-07-1996,232,CT
Plymouth School District,Plymouth Center School,Public Schools,1110211,107 North Street,Plymouth,6782,860-283-6321,01-07-1984,233,CT
Farmington School District,Union School,Public Schools,520111,173 School St.,Unionville,6085,860-673-2575,01-07-1984,234,CT
Bridgeport School District,Hallen School,Public Schools,151211,68 Omega Ave.,Bridgeport,6606,203-576-8216,01-07-1984,235,CT
Voluntown School District,Voluntown School District,Public School Districts,1470011,"Po Box 129, 195 Main St.",Voluntown,6384,860-376-9167,01-07-1996,236,CT
Pomfret School District,Pomfret Community School,Public Schools,1120111,20 Pomfret St.,Pomfret Center,6259,860-928-2718,01-07-1984,237,CT
Seymour School District,Seymour Middle School,Public Schools,1245111,211 Mountain Rd.,Seymour,6483,203-888-4513,01-07-1984,238,CT
East Hartford School District,East Hartford High School,Public Schools,436211,869 Forbes St.,East Hartford,6118,860-622-5200,01-07-1984,239,CT
Glastonbury School District,Naubuc School,Public Schools,540711,84 Griswold St.,Glastonbury,6033,860-652-7918,01-07-1984,240,CT
West Haven School District,Forest School,Public Schools,1560311,95 Burwell Rd.,West Haven,6516,203-931-6800,01-07-1984,241,CT
Trumbull School District,Trumbull High School,Public Schools,1446111,72 Strobel Rd.,Trumbull,6611,203-452-4555,01-07-1984,242,CT
Regional School District 14,Mitchell Elementary School,Regional Schools,2140212,14 School St.,Woodbury,6798,203-263-4314,01-07-2002,243,CT
Meriden School District,Thomas Hooker School,Public Schools,801011,70 Overlook Rd.,Meriden,6450,203-237-8839,01-07-1984,244,CT
Capitol Region Education Council,Greater Hartford Academy of the Arts High School - Full Day,Regional Education Service Center Schools,2416414,160 Huyshope Ave,Hartford,6106,860-757-6300,05-08-2007,245,CT
Clinton School District,Clinton School District,Public School Districts,270011,137 B Glenwood Road,Clinton,6413,860-664-6500,01-07-1996,246,CT
Southington School District,Southington High School,Public Schools,1316211,720 Pleasant Street,Southington,6489,860-628-3229,01-07-1984,247,CT
Hartland School District,Hartland School,Public Schools,650111,30 South Rd.,East Hartland,6027,860-653-7207,01-07-1984,248,CT
Bristol School District,Greene-Hills School,Public Schools,170511,718 Pine St.,Bristol,6010,860-584-7822,01-07-1998,249,CT
Clinton School District,Lewin G. Joel Jr. School,Public Schools,270311,137A Glenwood Rd.,Clinton,6413,860-664-6501,01-07-1984,250,CT
Old Saybrook School District,Old Saybrook School District,Public School Districts,1060011,50 Sheffield Street,Old Saybrook,6475,860-395-3157,01-07-1996,251,CT
Windham School District,Windham School District,Public School Districts,1630011,355 High Street - Unit B,Willimantic,6226,860-465-2310,01-07-1996,252,CT
Ledyard School District,Ledyard School District,Public School Districts,720011,4 Blonder Boulevard,Ledyard,6339,860-464-9255,01-07-1996,253,CT
Willington School District,Center School,Public Schools,1600111,12 Old Farms Rd.,West Willington,6279,860-429-9367,01-07-1984,254,CT
Canton School District,Cherry Brook Primary School,Public Schools,230211,4 Barbourtown Rd.,Canton,6019,860-693-7721,01-07-1984,255,CT
East Windsor School District,East Windsor Middle School,Public Schools,475411,38 Main St.,Broad Brook,6016,860-623-4488,01-07-2000,256,CT
Madison School District,Walter C. Polson Middle School,Public Schools,765211,302 Green Hill Rd.,Madison,6443,203-245-6480,01-07-2003,257,CT
Andover School District,Andover Elementary School,Public Schools,10111,35 School Rd.,Andover,6232,860-742-7339,01-07-1984,258,CT
Goodwin University Educational Services (GUES),Riverside Magnet School at Goodwin University,College Affiliated Schools,2310218,29 Willowbrook Road,East Hartford,6118,860-709-6800,01-07-2021,259,CT
Fairfield School District,Holland Hill School,Public Schools,510411,105 Meadowcroft Road,Fairfield,6824,203-255-8314,01-07-1984,260,CT
Tolland School District,Tolland High School,Public Schools,1426111,1 Eagle Hill,Tolland,6084,860-870-6818,01-07-1984,261,CT
New Britain School District,New Britain School District,Public School Districts,890011,272 Main St,New Britain,6050,860-827-2200,01-07-1996,262,CT
New Canaan School District,New Canaan High School,Public Schools,906111,11 Farm Rd.,New Canaan,6840,203-594-4600,01-07-1984,263,CT
Greenwich School District,Riverside School,Public Schools,571011,90 Hendrie Ave.,Riverside,6878,203-637-1440,01-07-1984,264,CT
Bridgeport School District,Geraldine Johnson School,Public Schools,153211,475 Lexington Avenue,Bridgeport,6604,203-275-2500,01-07-1984,265,CT
East Hampton School District,Memorial School,Public Schools,420111,20 Smith St.,East Hampton,6424,860-365-4020,01-07-1984,266,CT
Greenwich School District,Hamilton Avenue School,Public Schools,570511,184 Hamilton Avenue,Greenwich,6830,203-869-1685,01-07-1984,267,CT
Regional School District 14,Nonnewaug High School,Regional Schools,2146112,"5 Minortown Road, P.O. Box 469",Woodbury,6798,203-263-2186,01-07-2002,268,CT
Glastonbury School District,Hopewell School,Public Schools,540611,1068 Chestnut Hill Rd.,South Glastonbury,6073,860-652-7897,01-07-1984,269,CT
Judicial Centers,Bridgeport Residential Center,State Agency Facilities,3480115,60 Housatonic Ave,Bridgeport,6604,203-579-3671,14-05-2009,270,CT
East Lyme School District,Flanders School,Public Schools,450111,167 Boston Post Rd.,East Lyme,6333,860-739-8475,01-07-1984,271,CT
Meriden School District,Roger Sherman School,Public Schools,800811,64 North Pearl St.,Meriden,6450,203-238-1286,01-07-1984,272,CT
Ansonia School District,Ansonia High School,Public Schools,26111,20 Pulaski Hwy.,Ansonia,6401,203-736-5060,01-07-1984,273,CT
Waterbury School District,Waterbury Career Academy,Public Schools,1516711,175 Birch Street,Waterbury,6704,203-574-8000,27-08-2013,274,CT
Ellington School District,Windermere School,Public Schools,480611,2 Abbott Rd.,Ellington,6029,860-896-2329,01-07-1984,275,CT
Bridgeport School District,Hall School,Public Schools,151111,290 Clermont Ave.,Bridgeport,6610,203-576-7560,01-07-1984,276,CT
Hartford School District,"Breakthrough Magnet School, North",Public Schools,643511,25 Ridgefield Street,Hartford,6112,860-695-6380,25-08-2008,277,CT
Canton School District,Canton Intermediate School,Public Schools,230311,39 Dyer Ave.,Canton,6019,860-693-7717,01-07-1984,278,CT
New Britain School District,Lincoln Elementary School,Public Schools,890811,145 Steele St.,New Britain,6052,860-229-2564,01-07-1984,279,CT
West Hartford School District,Duffy School,Public Schools,1550611,95 Westminster St.,West Hartford,6107,860-521-0110,01-07-1984,280,CT
Manchester School District,Illing Middle School,Public Schools,775311,227 Middle Tpke E,Manchester,6040,860-647-3400,01-07-1984,281,CT
Plainfield School District,Plainfield Central School,Public Schools,1095111,75 Canterbury Rd.,Plainfield,6374,860-564-6437,01-07-1984,282,CT
Fairfield School District,Stratfield School,Public Schools,511411,1407 Melville Ave.,Fairfield,6825,203-255-8332,01-07-1984,283,CT
New Fairfield School District,Consolidated School,Public Schools,910111,24 Gillotti Rd.,New Fairfield,6812,203-312-5940,01-07-1984,284,CT
Old Saybrook School District,Kathleen E. Goodwin School,Public Schools,1060211,80 Old Boston Post Rd.,Old Saybrook,6475,860-395-3165,01-07-1984,285,CT
New Haven School District,John C. Daniels,Public Schools,931311,569 Congress Ave.,New Haven,6519,475-220-3600,01-07-2007,286,CT
Stamford School District,Rogers International School,Public Schools,1350811,202 Blachley Rd.,Stamford,6902,203-977-4560,01-07-1984,287,CT
Waterford School District,Quaker Hill Elementary School,Public Schools,1520711,285 Bloomingdale Rd.,Quaker Hill,6375,860-442-1095,15-07-2008,288,CT
Bridgeport School District,Central High School,Public Schools,156211,1 Lincoln Blvd.,Bridgeport,6606,203-576-7377,01-07-1984,289,CT
East Haddam School District,East Haddam School District,Public School Districts,410011,"Box 401, 1 Plains Road",Moodus,6469,860-873-5090,01-07-1996,290,CT
Department of Mental Health and Addiction Services,Southeast Mental Health Authority,State Agency Facilities,3370715,401 West Thames St.,Norwich,6360,860-262-7175,01-07-2007,291,CT
Amistad Academy District,Amistad Academy District,Public Charter School Districts,2790013,370 James Street,New Haven,6513,203-772-7000,01-07-1999,292,CT
Southington School District,Southington School District,Public School Districts,1310011,200 North Main Street,Southington,6489,860-628-3202,01-07-1996,293,CT
Stamford School District,"The Academy of Information, Technology & Engineering",Public Schools,1356411,411 High Ridge Rd.,Stamford,6905,203-977-4336,01-07-2003,294,CT
Hartford School District,Global Communications Academy,Public Schools,643611,85 Edwards Street,Hartford,6112,860-695-6020,25-08-2008,295,CT
East Hartford School District,East Hartford Middle School,Public Schools,435111,777 Burnside Ave.,East Hartford,6108,860-622-5600,01-07-1997,296,CT
Hartford School District,Naylor/CCSU Leadership Academy,Public Schools,641411,639 Franklin Avenue,Hartford,6114,860-695-4620,01-07-1984,297,CT
New Hartford School District,Bakerville Consolidated School,Public Schools,920111,51 Cedar Ln.,New Hartford,6057,860-482-0288,01-07-1984,298,CT
Regional School District 13,John Lyman School,Regional Schools,2130512,106 Way Rd.,Middlefield,6455,860-349-7240,01-07-2002,299,CT
Ridgefield School District,Branchville Elementary School,Public Schools,1180611,40 Florida Rd.,Ridgefield,6877,203-894-5850,01-07-1995,300,CT
Regional School District 08,Regional School District 08,Regional School Districts,2080012,85 Wall Street,Hebron,6248,860-228-2115,01-07-2002,301,CT
Stamford School District,Northeast School,Public Schools,1351811,82 Scofieldtown Rd.,Stamford,6903,203-977-4469,01-07-1984,302,CT
Regional School District 11,Regional School District 11,Regional School Districts,2110012,"304 Parish Hill Road, Box 277",Chaplin,6235,860-455-9306,01-07-2002,303,CT
Achievement First Hartford Academy District,Achievement First Hartford Academy District,Public Charter School Districts,2880013,370 James Street,New Haven,6513,860-695-5280,26-08-2008,304,CT
Guilford School District,Melissa Jones School,Public Schools,600311,181 Ledge Hill Rd.,Guilford,6437,203-457-0773,01-07-1984,305,CT
Waterbury School District,Woodrow Wilson School,Public Schools,1513211,235 Birch St.,Waterbury,6704,203-573-6660,01-07-1997,306,CT
West Haven School District,Seth G. Haley School,Public Schools,1560411,148 South St.,West Haven,6516,203-931-6810,01-07-1984,307,CT
Connecticut Technical Education and Career System,H. C. Wilcox Technical High School,CT Technical Education and Career Schools,9001716,298 Oregon Rd.,Meriden,6450,203-238-6260,01-07-2000,308,CT
Waterbury School District,Bunker Hill School,Public Schools,1510611,170 Bunker Hill Ave.,Waterbury,6708,203-574-8183,01-07-1984,309,CT
Shelton School District,Shelton High School,Public Schools,1266111,120 Meadow St.,Shelton,6484,203-922-3004,01-07-1984,310,CT
Stratford School District,Wilcoxson School,Public Schools,1381411,600 Wilcoxson Avenue,Stratford,6614,203-385-4196,01-07-1984,311,CT
Wolcott School District,Alcott School,Public Schools,1660611,1490 Woodtick Rd.,Wolcott,6716,203-879-8160,01-07-1984,312,CT
South Windsor School District,Orchard Hill School,Public Schools,1320611,380 Foster St.,South Windsor,6074,860-648-5015,01-07-1984,313,CT
West Hartford School District,Bristow Middle School,Public Schools,1555311,34 Highland St.,West Hartford,6102,860-231-2100,01-07-2005,314,CT
Granby School District,Granby Memorial High School,Public Schools,566111,54 North Granby Road,Granby,6035,860-844-3014,01-07-1984,315,CT
Essex School District,Essex School District,Public School Districts,500011,1 Winthrop Road,Deep River,6417,860-526-2417,01-07-1996,316,CT
Cooperative Educational Services,Cooperative Educational Services,Regional Education Service Center School Districts,2430014,40 Lindeman Drive,Trumbull,6611,203-365-8803,01-07-2000,317,CT
Trumbull School District,Tashua School,Public Schools,1440911,401 Stonehouse Rd.,Trumbull,6611,203-452-4433,01-07-1984,318,CT
Hamden School District,Hamden Middle School,Public Schools,625211,2623 Dixwell Ave.,Hamden,6518,203-407-3140,01-07-1984,319,CT
Bethel School District,Ralph M. T. Johnson School,Public Schools,90511,500 Whittlesey Dr.,Bethel,6801,203-794-8700,01-07-1984,320,CT
Bloomfield School District,Global Experience Magnet School,Public Schools,116311,"44 Griffin Rd., South",Bloomfield,6002,860-769-6600,01-07-2012,321,CT
Connecticut Technical Education and Career System,Bullard-Havens Technical High School,CT Technical Education and Career Schools,9001116,500 Palisade Ave.,Bridgeport,6610,203-579-6333,01-07-2000,322,CT
New Milford School District,New Milford High School,Public Schools,966111,388 Danbury Rd.,New Milford,6776,860-350-6647,01-07-1984,323,CT
Danbury School District,Hayestown Avenue School,Public Schools,340211,42 Tamarack Ave.,Danbury,6811,203-797-4771,01-07-1984,324,CT
Stratford School District,Franklin School,Public Schools,1380411,1895 Barnum Avenue,Stratford,6615,203-385-4190,01-07-1984,325,CT
New Haven School District,Family Academy of Multilingual Exploration,Public Schools,934111,255 Blatchley Ave.,New Haven,6513,475-220-2500,01-07-1984,326,CT
Hartford School District,Capital Preparatory Magnet School,Public Schools,646911,1304 Main Street,Hartford,6103,860-695-9800,01-07-2005,327,CT
Glastonbury School District,Glastonbury High School,Public Schools,546111,330 Hubbard St.,Glastonbury,6033,860-652-7200,01-07-1984,328,CT
Bridgeport School District,Read School,Public Schools,152511,130 Ezra St.,Bridgeport,6606,203-576-8030,01-07-1984,329,CT
Madison School District,Madison School District,Public School Districts,760011,"10 Campus Drive, Drawer 71",Madison,6443,203-245-6300,01-07-1996,330,CT
Derby School District,Derby Middle School,Public Schools,375011,73 Chatfield Street,Derby,6418,203-736-1426,04-01-2010,331,CT
Lebanon School District,Lebanon School District,Public School Districts,710011,891 Exeter Road,Lebanon,6249,860-642-7795,01-07-1996,332,CT
Portland School District,Portland School District,Public School Districts,1130011,33 East Main Street,Portland,6480,860-342-6790,01-07-1996,333,CT
Norwalk School District,Cranbury Elementary School,Public Schools,1030411,10 Knowalot Lane,Norwalk,6851,203-846-3600,01-07-1984,334,CT
Madison School District,Daniel Hand High School,Public Schools,766111,286 Green Hill Rd.,Madison,6443,203-245-6350,01-07-1984,335,CT
Fairfield School District,Fairfield Woods Middle School,Public Schools,515211,1115 Fairfield Woods Rd.,Fairfield,6824,203-255-8334,01-07-1984,336,CT
Stafford School District,Stafford High School,Public Schools,1346111,145 Orcuttville Rd.,Stafford Springs,6076,860-684-4233,01-07-1984,337,CT
Berlin School District,Catherine M. McGee Middle School,Public Schools,75111,899 Norton Rd.,Berlin,6037,860-828-0323,01-07-1984,338,CT
Colchester School District,Jack Jackter Intermediate School,Public Schools,280211,215 Halls Hill Rd.,Colchester,6415,860-537-9421,01-07-1984,339,CT
Danbury School District,Park Avenue School,Public Schools,340811,82 Park Ave.,Danbury,6810,203-797-4763,01-07-1984,340,CT
Stonington School District,West Vine Street School,Public Schools,1370611,17 West Vine St.,Pawcatuck,6379,860-599-5832,01-07-1984,341,CT
Scotland School District,Scotland School District,Public School Districts,1230011,68 Brook Road,Scotland,6264,860-423-0064,01-07-1996,342,CT
Bloomfield School District,Laurel Literacy Academy,Public Schools,110611,1 Filley St.,Bloomfield,6002,860-286-2675,01-07-2012,343,CT
The Woodstock Academy District,The Woodstock Academy District,Endowed and Incorporated Academies Districts,9030022,57 Academy Road,Woodstock,6281,860-928-6575,01-07-2000,344,CT
Bristol School District,Ellen P. Hubbell School,Public Schools,171411,90 West Washington St.,Bristol,6010,860-584-7842,01-07-1998,345,CT
Waterbury School District,Waterbury Arts Magnet School,Public Schools,1516011,16 South Elm St.,Waterbury,6706,203-573-6300,01-07-2005,346,CT
Middletown School District,Lawrence School,Public Schools,831311,Kaplan Dr.,Middletown,6457,860-632-2158,01-07-1984,347,CT
East Haven School District,Overbrook Early Learning Center,Public Schools,441811,54 Gerrish Ave.,East Haven,6512,203-468-3305,01-07-2001,348,CT
Tolland School District,Tolland Intermediate School,Public Schools,1420211,96 Old Post RD,Tolland,6084,860-870-6885,01-07-1984,349,CT
New Haven School District,Betsy Ross Arts Magnet School,Public Schools,935511,150 Kimberly Ave.,New Haven,6519,475-220-5300,01-07-1984,350,CT
Milford School District,Joseph A. Foran High School,Public Schools,846311,80 Foran Dr.,Milford,6460,203-783-3502,01-07-1984,351,CT
Regional School District 04,John Winthrop Middle School,Regional Schools,2045112,1 Winthrop Road,Deep River,6417,860-526-9546,01-07-2002,352,CT
Enfield School District,Enfield Street School,Public Schools,490211,1318 Enfield St.,Enfield,6082,860-253-6565,01-07-1984,353,CT
East Granby School District,Allgrove School,Public Schools,400111,33 Turkey Hills Rd.,East Granby,6026,860-653-2505,01-07-1984,354,CT
Hartford School District,Environmental Sciences Magnet at Hooker School,Public Schools,640911,440 Broadview Terrace,Hartford,6106,860-695-3760,01-07-1984,355,CT
North Stonington School District,Wheeler High School,Public Schools,1026111,297 Norwich/Westerly Rd.,North Stonington,6359,860-535-0377,01-07-1984,356,CT
Wallingford School District,Wallingford School District,Public School Districts,1480011,100 South Turnpike Road,Wallingford,6492,203-949-6500,01-07-1996,357,CT
Torrington School District,Southwest School,Public Schools,1430811,340 Litchfield St.,Torrington,6790,860-489-2311,01-07-1984,358,CT
Manchester School District,Verplanck School,Public Schools,771211,126 Olcott Street,Manchester,6040,860-647-3383,01-07-1984,359,CT
Bristol School District,Chippens Hill Middle School,Public Schools,175111,551 Peacedale St.,Bristol,6010,860-584-3881,01-07-1992,360,CT
Groton School District,Northeast Academy Magnet School,Public Schools,591911,115 Oslo Street,Mystic,6355,860-572-5852,07-01-2008,361,CT
Orange School District,Mary L. Tracy School,Public Schools,1070211,650 School House Lane,Orange,6477,203-891-8028,01-07-1989,362,CT
New London School District,New London School District,Public School Districts,950011,134 Williams Street,New London,6320,860-447-6000,01-07-1996,363,CT
New Canaan School District,New Canaan School District,Public School Districts,900011,39 Locust Avenue,New Canaan,6840,203-594-4018,01-07-1996,364,CT
Stratford School District,Stratford High School,Public Schools,1386111,245 King Street,Stratford,6615,203-385-4230,01-07-1984,365,CT
Wallingford School District,James H. Moran Middle School,Public Schools,1485311,141 Hope Hill Road,Wallingford,6492,203-741-2900,01-07-1984,366,CT
Achievement First Bridgeport Academy District,Achievement First Bridgeport Academy District,Public Charter School Districts,2850013,370 James Street,New Haven,6513,203-333-9128,02-08-2007,367,CT
Middletown School District,Spencer School,Public Schools,830111,207 Westfield St.,Middletown,6457,860-344-0711,01-07-1990,368,CT
Montville School District,Oakdale School,Public Schools,860511,30 Indiana Circle,Oakdale,6370,860-859-1800,01-07-1984,369,CT
Regional School District 15,Long Meadow Elementary School,Regional Schools,2150712,65 North Benson Rd.,Middlebury,6762,203-758-1144,01-07-2002,370,CT
Woodstock School District,Woodstock Elementary School,Public Schools,1690211,24 Frog Pond Rd.,Woodstock,6281,860-928-0471,01-07-1984,371,CT
Somers School District,Somers School District,Public School Districts,1290011,1 Vision Blvd,Somers,6071,860-749-2270,01-07-1996,372,CT
Plainville School District,Frank T. Wheeler School,Public Schools,1100411,15 Cleverland Memorial Dr.,Plainville,6062,860-793-3290,01-07-1984,373,CT
Department of Mental Health and Addiction Services,Connecticut Valley Hospital,State Agency Facilities,3370215,1000 Silver St.,Middletown,6457,860-262-7175,01-07-2007,374,CT
New Haven School District,Benjamin Jepson Magnet School,Public Schools,931811,15 Lexington Ave.,New Haven,6513,475-220-2900,01-07-1990,375,CT
Area Cooperative Educational Services,ACES at Chase,Regional Education Service Center Schools,2445114,565 Chase Parkway,Waterbury,6708,203-639-8403,01-07-2001,376,CT
Ridgefield School District,Veterans Park Elementary School,Public Schools,1180211,8 Governor St.,Ridgefield,6877,203-894-5525,01-07-1984,377,CT
Meriden School District,Lincoln Middle School,Public Schools,805211,164 Centennial Ave.,Meriden,6450,203-238-2381,01-07-1984,378,CT
Thompson School District,Mary R. Fisher Elementary School,Public Schools,1410111,785 Riverside Dr.,North Grosvenordale,6255,860-923-9142,01-07-1984,379,CT
Groton School District,Groton School District,Public School Districts,590011,1300 Flanders Road,Mystic,6355,860-572-2100,01-07-1996,380,CT
Westport School District,Long Lots School,Public Schools,1580711,13 Hyde Ln.,Westport,6880,203-341-1910,01-07-1997,381,CT
Windsor School District,Windsor High School,Public Schools,1646111,50 Sage Park Rd.,Windsor,6095,860-687-2020,01-07-1984,382,CT
Farmington School District,Irving A. Robbins Middle School,Public Schools,525111,20 Wolf Pit Rd.,Farmington,6032,860-677-2683,01-07-1984,383,CT
East Haven School District,Deer Run School,Public Schools,440111,311 Foxon Rd.,East Haven,6512,203-468-3324,01-07-1984,384,CT
Capitol Region Education Council,Glastonbury/East Hartford Magnet School,Regional Education Service Center Schools,2410114,95 Oak Street,Glastonbury,6033,860-633-4455,01-07-2000,385,CT
New Britain School District,Pulaski Middle School,Public Schools,895311,757 Farmington Ave.,New Britain,6053,860-225-7665,01-07-1997,386,CT
Shelton School District,Mohegan School,Public Schools,1260911,47 Mohegan Rd.,Shelton,6484,203-929-4121,01-07-1984,387,CT
Newington School District,Ruth Chaffee School,Public Schools,940711,160 Superior Ave.,Newington,6111,860-666-4687,01-07-1984,388,CT
Portland School District,Portland Middle School,Public Schools,1135111,93 High Street,Portland,6480,860-342-1880,01-07-1984,389,CT
Regional School District 17,Burr District Elementary School,Regional Schools,2170212,792 Killingworth Road,Higganum,6441,860-345-4584,01-07-2002,390,CT
Norwich Free Academy District,Norwich Free Academy District,Endowed and Incorporated Academies Districts,9010022,305 Broadway,Norwich,6360,860-887-2505,01-07-2000,391,CT
Vernon School District,Center Road School,Public Schools,1461411,20 Center Rd.,Vernon,6066,860-870-6300,01-07-1984,392,CT
Interdistrict School for Arts and Comm District,Interdistrict School for Arts and Comm District,Public Charter School Districts,2650013,190 Governor Winthrop Blvd.,New London,6320,860-447-1003,27-08-1997,393,CT
Greenwich School District,Western Middle School,Public Schools,575311,1 Western Junior Hwy.,Greenwich,6830,203-531-5700,01-07-1984,394,CT
Norwich School District,Bishop School Early Learning Center,Public Schools,1040111,526 East Main St.,Norwich,6360,860-823-4201,01-07-1984,395,CT
West Hartford School District,Aiken School,Public Schools,1551611,212 King Philip Dr.,West Hartford,6117,860-233-6994,01-07-1990,396,CT
Windsor Locks School District,Windsor Locks High School,Public Schools,1656111,58 South Elm St.,Windsor Locks,6096,860-292-5032,01-07-1984,397,CT
Cromwell School District,Cromwell Middle School,Public Schools,335111,6 Captain James Mann Memorial Dr.,Cromwell,6416,860-632-4853,01-07-1984,398,CT
North Canaan School District,North Canaan Elementary School,Public Schools,1000111,"90 Pease Street, P.O. Box 758",North Canaan,6018,860-824-5149,01-07-1984,399,CT
Capitol Region Education Council,Discovery Academy,Regional Education Service Center Schools,2418114,176 Cumberland Avenue,Wethersfield,6109,860-296-2090,30-08-2011,400,CT
Regional School District 13,Regional School District 13,Regional School Districts,2130012,135-A Pickett Lane,Durham,6422,860-349-7200,01-07-2002,401,CT
Capitol Region Education Council,Ana Grace Academy of the Arts,Regional Education Service Center Schools,2410614,129 Griffin Road North,Bloomfield,6002,860-677-0380,25-08-2012,402,CT
Connecticut Technical Education and Career System,J. M. Wright Technical High School,CT Technical Education and Career Schools,9002116,120 Bridge St.,Stamford,6905,203-324-7363,27-08-2014,403,CT
Salem School District,Salem School District,Public School Districts,1210011,200 Hartford Road,Salem,6420,860-892-1223,01-07-1996,404,CT
Wethersfield School District,Emerson-Williams School,Public Schools,1590211,461 Wells Rd.,Wethersfield,6109,860-571-8360,01-07-1984,405,CT
Killingly School District,Killingly Central School,Public Schools,690111,60 Soap St.,Dayville,6241,860-779-6750,01-07-1999,406,CT
Avon School District,Avon School District,Public School Districts,40011,34 Simsbury Road,Avon,6001,860-404-4700,01-07-1996,407,CT
Regional School District 18,Mile Creek School,Regional Schools,2180212,205 Mile Creek Rd.,Old Lyme,6371,860-434-2209,01-07-2002,408,CT
Derby School District,Derby School District,Public School Districts,370011,35 Fifth Street,Derby,6418,203-736-5027,01-07-1996,409,CT
Windsor School District,Windsor School District,Public School Districts,1640011,601 Matianuck Avenue,Windsor,6095,860-687-2000,01-07-1996,410,CT
Hartford School District,Classical Magnet School,Public Schools,646411,85 Woodland Street,Hartford,6105,860-695-9100,01-07-1995,411,CT
Bridgeport School District,Black Rock School,Public Schools,150311,545 Brewster St.,Bridgeport,6605,203-576-7500,01-07-1984,412,CT
Jumoke Academy District,Jumoke Academy,Public Charter Schools,2610113,999 Asylum Ave. Suite 200,Hartford,6105,860-527-0575,01-07-1997,413,CT
Hartford School District,SAND School,Public Schools,640111,1750 Main Street,Hartford,6120,860-695-5040,01-07-1984,414,CT
Danbury School District,King Street Primary School,Public Schools,341311,151 South King St.,Danbury,6811,203-797-4744,01-07-1984,415,CT
New Milford School District,New Milford School District,Public School Districts,960011,50 East Street,New Milford,6776,860-355-8406,01-07-1996,416,CT
Colebrook School District,Colebrook School District,Public School Districts,290011,"Box 9, 452 Smith Hill Roa",Colebrook,6021,860-379-2179,01-07-1996,417,CT
Vernon School District,Vernon School District,Public School Districts,1460011,"30 Park Street, Box 600",Vernon,6066,860-870-6000,01-07-1996,418,CT
North Branford School District,Jerome Harrison School,Public Schools,990411,335 Foxon Rd.,North Branford,6471,203-484-1235,01-07-1984,419,CT
Sprague School District,Sayles School,Public Schools,1330111,25 Scotland Road,Baltic,6330,860-822-8264,01-07-1984,420,CT
