Town,List Year,Avg Assessed Value,Avg Sale Amount,Avg Sales Ratio,Avg Total Crimes,"Avg Crimes per 100,000",Avg Number of Schools,Avg Number of Healthcare facilities,Avg Houses Sold (Condo),Avg Condo Assessed Value,Avg Condo Sale Amount,Avg Condo Sale Ratio,Avg Houses Sold (Single),Avg Single Family Assessed Value,Avg Single Family Sale Amount,Avg Single Family Sale Ratio,geometry
Kent,2012,438137.5,505167.13,1.47,89.25,269.04,0.0,0.0,3.0,191833.33,196333.33,1.07,5.0,585920.0,690467.4,1.71,POINT(-73.476921 41.7246894)
East Windsor,2013,112824.88,160423.12,0.76,1244.71,1092.65,2.0,1.0,15.0,108886.0,154800.0,0.73,26.0,115097.31,163667.23,0.77,POINT(-72.6130726 41.9156316)
Middlebury,2010,289368.75,380001.75,0.86,262.88,352.45,0.0,0.0,3.0,225266.67,283899.33,0.84,13.0,304161.54,402179.23,0.87,POINT(-73.1276107 41.5278742)
Windsor,2009,139734.93,202831.87,0.87,1596.0,489.61,5.0,2.0,20.0,113638.0,199305.0,0.76,55.0,149224.73,204114.36,0.91,POINT(-72.6437022 41.8525984)
Burlington,2012,230755.61,328619.56,0.77,150.51,158.38,0.0,0.0,2.0,97125.0,125500.0,0.77,39.0,237608.46,339035.95,0.77,POINT(-72.9645484 41.7692648)
Brooklyn,2011,135026.32,277731.58,0.86,243.58,292.93,2.0,0.0,1.0,82700.0,217500.0,0.38,18.0,137933.33,281077.78,0.89,POINT(-71.9497957 41.7881541)
Wilton,2017,663197.5,949202.13,0.69,441.0,216.0,4.0,5.0,0.0,0.0,0.0,0.0,8.0,663197.5,949202.13,0.69,POINT(-73.4378988 41.1953739)
Newtown,2009,336407.31,413637.48,1.1,675.0,233.59,5.0,1.0,5.0,130350.0,405352.8,0.4,62.0,353024.84,414305.6,1.16,POINT(-73.3086445 41.4134764)
Sharon,2010,376123.08,417288.46,0.92,80.15,233.7,1.0,2.0,1.0,463200.0,275000.0,1.68,12.0,368866.67,429145.83,0.86,POINT(-73.4767897 41.8792599)
Canterbury,2012,157959.9,204510.0,0.79,120.0,220.32,2.0,0.0,0.0,0.0,0.0,0.0,10.0,157959.9,204510.0,0.79,POINT(-71.9710811 41.6984209)
Redding,2015,339728.57,454783.33,0.76,131.29,137.2,2.0,2.0,1.0,119800.0,221000.0,0.54,20.0,350725.0,466472.5,0.77,POINT(-73.3834532 41.3025956)
Darien,2017,960632.11,1352289.47,0.7,843.0,371.32,7.0,3.0,1.0,1480150.0,1800000.0,0.82,18.0,931770.0,1327416.67,0.69,POINT(-73.4692873 41.0787079)
Ridgefield,2011,733475.36,710952.04,1.02,259.16,94.55,7.0,2.0,4.0,153970.0,162750.0,0.97,65.0,769137.23,744687.55,1.02,POINT(-73.49345520437956 41.267211)
Ellington,2017,226032.86,305964.29,0.9,225.0,150.38,5.0,0.0,0.0,0.0,0.0,0.0,14.0,226032.86,305964.29,0.9,POINT(-72.4698071 41.9039863)
Oxford,2014,235135.97,372224.26,0.69,209.81,184.31,3.0,0.0,7.0,241016.43,381426.43,0.63,24.0,233420.83,369540.29,0.71,POINT(-73.1172769 41.4351795)
Bristol,2009,148535.65,179958.53,0.87,4605.0,664.15,11.0,6.0,12.0,87465.0,134800.0,0.73,80.0,157696.25,186732.31,0.89,POINT(-72.9464859 41.6735209)
Weston,2015,550181.4,789888.7,0.75,50.58,43.56,4.0,0.0,0.0,0.0,0.0,0.0,43.0,550181.4,789888.7,0.75,POINT(-73.3812743 41.2021302)
Bozrah,2010,185550.0,163600.0,1.32,92.4,339.42,0.0,0.0,0.0,0.0,0.0,0.0,5.0,185550.0,163600.0,1.32,POINT(-72.168238 41.5505962)
Newtown,2015,261338.02,391675.02,0.68,289.16,99.85,5.0,1.0,11.0,118817.27,317614.09,0.35,85.0,279781.88,401259.38,0.72,POINT(-73.3086445 41.4134764)
Plymouth,2017,136193.08,157750.69,1.34,472.0,350.4,1.0,1.0,0.0,0.0,0.0,0.0,13.0,136193.08,157750.69,1.34,POINT(-73.0528893 41.6720318)
Canton,2016,245325.12,325257.05,0.76,248.27,242.71,4.0,0.0,12.0,155176.67,212678.33,0.74,29.0,282627.93,371841.34,0.77,POINT(-72.8937122 41.8245424)
New Fairfield,2017,307000.0,464125.0,0.69,81.0,50.13,4.0,0.0,0.0,0.0,0.0,0.0,10.0,307000.0,464125.0,0.69,POINT(-73.4856789 41.4664832)
Plainville,2013,122880.8,165098.94,1.11,1560.0,775.75,4.0,2.0,10.0,105203.0,140034.4,0.77,40.0,127300.25,171365.08,1.19,POINT(-72.8672429 41.6711395)
Killingly,2014,97985.15,128642.17,1.07,512.73,268.49,0.0,0.0,5.0,71414.0,81676.6,1.17,61.0,100163.11,132491.8,1.06,POINT(-71.8795925 41.8430634)
Hartland,2011,193665.0,286250.0,0.68,36.0,154.23,0.0,0.0,0.0,0.0,0.0,0.0,2.0,193665.0,286250.0,0.68,POINT(-72.9795488 41.996206)
East Haven,2009,160953.33,180490.13,1.41,3004.0,923.17,7.0,3.0,10.0,131514.0,162415.1,0.83,50.0,166841.2,184105.14,1.52,POINT(-72.8684337 41.2762081)
Deep River,2012,161336.0,209750.0,0.88,76.4,142.74,1.0,0.0,1.0,94290.0,132500.0,0.71,9.0,168785.56,218333.33,0.9,POINT(-72.4356422 41.3856546)
Colchester,2012,154627.08,220453.94,0.76,287.15,170.06,4.0,1.0,6.0,192900.0,294988.33,0.67,42.0,149159.52,209806.17,0.78,POINT(-72.3320269 41.5756543)
Norwich,2012,134142.93,115076.11,1.69,3358.35,801.03,8.0,5.0,15.0,115466.67,109810.87,1.4,80.0,137644.73,116063.34,1.75,POINT(-72.0759008 41.5243537)
Middletown,2012,163061.97,194735.23,1.22,2713.0,541.47,9.0,9.0,29.0,111064.48,152069.55,0.87,103.0,177702.04,206747.9,1.32,POINT(-72.6509061 41.5623178)
North Stonington,2016,171802.05,252040.91,0.72,85.36,147.81,2.0,0.0,0.0,0.0,0.0,0.0,22.0,171802.05,252040.91,0.72,POINT(-71.8807456 41.5172857)
Cromwell,2015,159384.36,227065.82,0.8,1101.69,739.87,4.0,4.0,21.0,121136.67,177110.33,0.71,18.0,204006.67,285347.22,0.9,POINT(-72.6455665 41.5949942)
Windsor Locks,2015,105778.57,143720.07,0.93,605.86,434.8,4.0,1.0,6.0,68816.67,128233.33,0.71,36.0,111938.89,146301.19,0.96,POINT(-72.643631 41.9281305)
Groton,2015,177194.17,232387.43,1.05,2272.2,492.18,4.0,4.0,14.0,128311.43,171599.07,1.15,106.0,183650.38,240416.08,1.03,POINT(-72.0761998 41.3501598)
Enfield,2017,126303.49,187390.28,0.71,2628.0,501.99,8.0,2.0,7.0,107178.57,148250.0,0.72,36.0,130022.22,195000.89,0.71,POINT(-72.5755109 41.9789387)
Willington,2017,119770.0,206000.0,0.58,90.0,130.42,0.0,0.0,0.0,0.0,0.0,0.0,1.0,119770.0,206000.0,0.58,POINT(-72.2598935 41.874428)
Bethlehem,2017,139900.0,140000.0,1.0,33.0,83.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,139900.0,140000.0,1.0,POINT(-73.2080798 41.6393626)
Goshen,2015,277020.67,314893.33,1.13,37.8,121.2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,277020.67,314893.33,1.13,POINT(-73.2251145 41.8317624)
Milford,2010,278568.1,289918.13,1.85,5290.5,874.9,10.0,8.0,32.0,204438.44,230789.06,0.94,94.0,303803.72,310047.17,2.16,POINT(-73.0570603 41.2222218)
Avon,2014,288983.76,398027.65,0.72,464.0,252.83,5.0,4.0,34.0,173187.35,251892.65,0.7,51.0,366181.37,495450.98,0.74,POINT(-72.8306541 41.8098209)
Portland,2016,165726.67,214560.61,1.04,324.64,321.1,5.0,1.0,4.0,115885.0,175000.0,0.68,29.0,172601.38,220017.24,1.09,POINT(-72.6406905 41.5728924)
Litchfield,2017,181231.43,231342.86,0.95,6265.0,284.01,0.0,0.0,0.0,0.0,0.0,0.0,7.0,181231.43,231342.86,0.95,POINT(-73.2543049 41.767249)
Putnam,2013,127173.68,142501.79,0.99,766.74,733.89,3.0,2.0,3.0,133033.33,163333.33,0.83,16.0,126075.0,138595.88,1.02,POINT(-71.9092563 41.9153094)
Sterling,2009,141422.0,200180.0,0.72,121.0,338.14,1.0,0.0,1.0,123130.0,128500.0,0.96,4.0,145995.0,218100.0,0.66,POINT(-71.828682 41.707599)
Shelton,2013,181745.44,261430.54,0.82,1272.38,287.79,7.0,8.0,20.0,191040.5,268140.0,0.76,59.0,178594.58,259156.15,0.84,POINT(-73.150955 41.370196)
Colchester,2014,175961.11,241002.19,0.74,199.5,118.26,4.0,1.0,4.0,145025.0,188350.0,0.83,32.0,179828.13,247583.72,0.73,POINT(-72.3320269 41.5756543)
Lebanon,2015,138411.6,179513.0,0.98,121.8,152.4,3.0,0.0,0.0,0.0,0.0,0.0,25.0,138411.6,179513.0,0.98,POINT(-72.2125789 41.6362097)
Monroe,2014,229511.94,326671.64,0.75,407.82,182.77,5.0,0.0,13.0,135438.46,186707.69,0.74,54.0,252159.26,360366.67,0.75,POINT(-73.2073358 41.3325962)
Naugatuck,2014,108806.17,141135.14,0.89,1820.05,506.59,9.0,1.0,10.0,54988.0,71755.4,0.78,97.0,114354.43,148287.69,0.91,POINT(-73.0509432 41.4860186)
Wolcott,2009,180028.33,194558.67,1.08,820.0,466.9,5.0,1.0,0.0,0.0,0.0,0.0,30.0,180028.33,194558.67,1.08,POINT(-72.9867718 41.6023196)
Griswold,2009,185668.0,221313.33,0.99,361.0,289.35,3.0,0.0,0.0,0.0,0.0,0.0,15.0,185668.0,221313.33,0.99,POINT(-71.9622443 41.6035026)
Middlebury,2013,191571.6,292464.3,0.96,189.45,253.06,0.0,0.0,3.0,125410.67,339262.0,0.44,17.0,203247.06,284205.88,1.05,POINT(-73.1276107 41.5278742)
Prospect,2014,168859.69,268966.91,0.7,265.44,262.94,0.0,1.0,3.0,148196.67,369063.67,0.43,29.0,170997.24,258612.07,0.73,POINT(-72.9787163 41.5023192)
Vernon,2009,127377.25,169501.35,0.93,924.0,285.24,5.0,0.0,26.0,100422.69,169292.69,0.65,25.0,155410.0,169718.36,1.23,POINT(-72.4663331 41.8382921)
Litchfield,2011,335546.25,410258.33,1.16,266.38,276.29,0.0,0.0,2.0,210395.0,329750.0,0.71,22.0,346923.64,417577.27,1.2,POINT(-73.2543049 41.767249)
Columbia,2012,174053.33,278323.33,0.66,93.27,161.66,0.0,0.0,0.0,0.0,0.0,0.0,15.0,174053.33,278323.33,0.66,POINT(-72.3011917 41.7020432)
Preston,2013,161410.0,197003.57,0.94,111.64,205.24,1.0,0.0,0.0,0.0,0.0,0.0,14.0,161410.0,197003.57,0.94,POINT(-71.982138 41.5268022)
Haddam,2016,210176.92,279875.69,0.87,104.08,125.66,0.0,1.0,1.0,120620.0,152000.0,0.79,25.0,213759.2,284990.72,0.87,POINT(-72.5120333 41.4773213)
Plainfield,2011,129097.5,107696.8,2.22,368.77,217.58,3.0,1.0,5.0,87066.0,87540.0,1.08,39.0,134486.15,110281.0,2.37,POINT(-71.915073 41.6764876)
Waterford,2014,150683.33,212957.47,0.78,1416.14,637.8,3.0,5.0,13.0,89216.15,132084.62,0.74,74.0,161481.62,227164.86,0.78,POINT(-72.1519367 41.358659)
Killingly,2012,146050.29,144370.25,1.19,634.75,332.08,0.0,0.0,4.0,125667.5,124850.0,1.08,44.0,147903.27,146144.82,1.2,POINT(-71.8795925 41.8430634)
Brookfield,2015,227995.57,332522.48,0.73,423.76,233.84,4.0,1.0,20.0,164426.7,238433.5,0.79,38.0,261452.87,382043.0,0.71,POINT(-73.4095652 41.4825947)
Griswold,2014,154818.13,199938.59,0.86,274.5,219.07,3.0,0.0,3.0,51543.33,118633.33,0.62,29.0,165501.72,208349.48,0.89,POINT(-71.9622443 41.6035026)
Marlborough,2013,191703.08,290541.23,0.73,72.77,109.82,1.0,2.0,1.0,145110.0,215000.0,0.67,12.0,195585.83,296836.33,0.73,POINT(-72.459808 41.631488)
Orange,2011,276658.06,346330.33,0.86,1173.88,765.39,2.0,2.0,3.0,158472.0,419067.0,0.49,30.0,288476.67,339056.67,0.9,POINT(-73.0256609 41.2784304)
Monroe,2011,306871.89,376683.78,0.85,496.95,222.76,5.0,0.0,4.0,171762.5,184000.0,0.98,33.0,323248.79,400039.39,0.84,POINT(-73.2073358 41.3325962)
Lisbon,2014,120652.0,150440.0,0.91,342.2,725.19,1.0,0.0,0.0,0.0,0.0,0.0,5.0,120652.0,150440.0,0.91,POINT(-72.0207809 41.5866851)
Ledyard,2017,136925.38,220009.69,0.69,326.0,199.75,2.0,0.0,1.0,59150.0,90100.0,0.66,12.0,143406.67,230835.5,0.69,POINT(-72.0175193 41.4386053)
Goshen,2013,234345.0,376050.0,0.67,30.0,95.87,0.0,0.0,0.0,0.0,0.0,0.0,8.0,234345.0,376050.0,0.67,POINT(-73.2251145 41.8317624)
Rocky Hill,2012,187372.52,242622.5,0.84,901.4,432.24,4.0,5.0,34.0,155125.88,213104.41,0.8,26.0,229541.19,281223.08,0.9,POINT(-72.6392587 41.6648216)
Canaan,2009,189900.0,150714.29,2.95,39.0,312.93,0.0,2.0,0.0,0.0,0.0,0.0,7.0,189900.0,150714.29,2.95,POINT(-73.3083333 41.9616667)
Union,2014,114650.0,144000.0,0.8,12.0,149.85,1.0,0.0,0.0,0.0,0.0,0.0,1.0,114650.0,144000.0,0.8,POINT(-72.1572992 41.9909296)
Franklin,2011,168750.0,227500.0,0.74,81.0,380.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,168750.0,227500.0,0.74,POINT(-72.1459112 41.6089873)
Torrington,2013,128589.81,125154.09,1.23,2224.3,544.51,5.0,8.0,16.0,100385.63,76656.25,1.45,90.0,133603.89,133775.93,1.19,POINT(-73.1212214 41.8006523)
Sherman,2010,316284.62,566584.62,0.8,64.38,145.58,1.0,0.0,0.0,0.0,0.0,0.0,13.0,316284.62,566584.62,0.8,POINT(-73.4956795 41.5792607)
Sharon,2014,287658.33,299250.0,1.11,38.25,111.1,1.0,2.0,0.0,0.0,0.0,0.0,12.0,287658.33,299250.0,1.11,POINT(-73.4767897 41.8792599)
Union,2009,186790.0,226000.0,0.83,12.0,150.26,1.0,0.0,0.0,0.0,0.0,0.0,1.0,186790.0,226000.0,0.83,POINT(-72.1572992 41.9909296)
Cromwell,2011,166038.14,207937.37,1.15,958.74,643.13,4.0,4.0,23.0,114698.7,130725.0,1.37,20.0,225078.5,296731.6,0.89,POINT(-72.6455665 41.5949942)
Morris,2009,222795.56,293333.33,1.32,43.0,161.81,0.0,0.0,0.0,0.0,0.0,0.0,9.0,222795.56,293333.33,1.32,POINT(-73.1962245 41.6842633)
Bethel,2014,185210.14,278877.83,0.75,518.79,247.72,5.0,2.0,23.0,168348.26,285770.09,0.64,47.0,193461.7,275505.02,0.8,POINT(-73.412668 41.372643)
West Hartford,2010,233636.17,338562.42,0.75,4717.56,641.75,15.0,8.0,25.0,139220.0,222181.56,0.76,142.0,250258.73,359052.01,0.75,POINT(-72.7420399 41.7620447)
Putnam,2017,113206.67,133047.87,1.07,574.0,550.68,3.0,2.0,3.0,110300.0,187233.33,0.62,12.0,113933.33,119501.5,1.18,POINT(-71.9092563 41.9153094)
Farmington,2010,235398.76,325850.33,0.85,1977.61,723.61,5.0,8.0,44.0,173625.23,224132.8,0.9,53.0,286682.45,410295.08,0.8,POINT(-72.8320435 41.7198216)
Bethlehem,2009,221825.0,239250.0,1.0,60.0,151.94,0.0,0.0,0.0,0.0,0.0,0.0,4.0,221825.0,239250.0,1.0,POINT(-73.2080798 41.6393626)
Marlborough,2016,186088.97,244634.48,0.8,151.55,229.27,1.0,2.0,1.0,132510.0,192500.0,0.69,28.0,188002.5,246496.43,0.81,POINT(-72.459808 41.631488)
Stafford,2017,120162.0,136400.0,1.01,165.0,126.03,0.0,0.0,0.0,0.0,0.0,0.0,5.0,120162.0,136400.0,1.01,POINT(-72.2895812 41.9851964)
Watertown,2010,211241.18,265009.41,0.96,1428.71,570.43,2.0,1.0,1.0,142400.0,180000.0,0.79,33.0,213327.27,267585.45,0.97,POINT(-73.1181658 41.6062078)
Bridgeport,2012,142455.15,124580.59,1.46,18454.0,1139.52,29.0,8.0,44.0,122422.73,99660.23,1.41,121.0,149739.67,133642.55,1.47,POINT(-73.1887863 41.1792695)
New Britain,2015,89053.15,117032.73,0.96,7036.87,850.11,11.0,7.0,19.0,66437.37,85002.58,0.87,130.0,92358.54,121714.06,0.98,POINT(-72.7795419 41.6612104)
Salisbury,2014,479656.36,877639.55,0.72,55.36,120.02,0.0,1.0,1.0,204600.0,280000.0,0.73,10.0,507162.0,937403.5,0.72,POINT(-73.4212318 41.983426)
Monroe,2010,263925.09,338318.18,1.06,527.15,236.94,5.0,0.0,13.0,167551.54,196769.23,1.0,42.0,293755.0,382130.95,1.08,POINT(-73.2073358 41.3325962)
Marlborough,2017,254660.0,377333.33,0.68,159.0,240.51,1.0,2.0,0.0,0.0,0.0,0.0,3.0,254660.0,377333.33,0.68,POINT(-72.459808 41.631488)
Clinton,2016,204115.79,256903.6,0.88,988.26,651.99,3.0,0.0,2.0,78550.0,117750.0,0.67,55.0,208681.82,261963.73,0.89,POINT(-72.5275904 41.2787104)
Hebron,2009,227842.11,249671.16,1.14,236.0,237.45,2.0,0.0,0.0,0.0,0.0,0.0,19.0,227842.11,249671.16,1.14,POINT(-72.3659161 41.6578767)
Southbury,2014,151700.26,222189.77,0.78,552.76,256.83,0.0,6.0,68.0,85896.91,134714.93,0.79,46.0,248974.78,351500.41,0.75,POINT(-73.2131693 41.4814848)
Stafford,2014,138811.0,194263.33,0.78,180.4,137.62,0.0,0.0,5.0,91336.0,123500.0,0.76,25.0,148306.0,208416.0,0.79,POINT(-72.2895812 41.9851964)
Bolton,2011,200968.67,260938.87,1.21,101.53,174.55,2.0,0.0,0.0,0.0,0.0,0.0,15.0,200968.67,260938.87,1.21,POINT(-72.4334173 41.7689878)
Chaplin,2017,139233.33,230133.33,0.6,33.0,126.85,1.0,0.0,0.0,0.0,0.0,0.0,3.0,139233.33,230133.33,0.6,POINT(-72.1272989 41.7948205)
Woodbury,2014,233901.67,277414.29,1.28,105.57,98.99,0.0,0.0,12.0,101560.83,123333.33,0.9,30.0,286838.0,339046.67,1.43,POINT(-73.2090025 41.5445404)
Milford,2012,208456.92,272064.58,1.18,4821.88,794.24,10.0,8.0,34.0,154538.24,196413.24,0.81,86.0,229773.6,301973.24,1.32,POINT(-73.0570603 41.2222218)
Windsor,2011,147043.6,172610.6,1.79,1376.36,420.65,5.0,2.0,11.0,155909.09,194945.18,1.12,64.0,145519.84,168771.84,1.91,POINT(-72.6437022 41.8525984)
Naugatuck,2015,112353.68,139100.14,1.08,1752.18,488.75,9.0,1.0,6.0,79600.0,97416.67,0.84,119.0,114005.13,141201.82,1.09,POINT(-73.0509432 41.4860186)
North Haven,2013,190440.43,280295.09,0.72,1647.54,616.35,6.0,2.0,4.0,137900.0,177750.0,0.76,42.0,195444.29,290061.29,0.71,POINT(-72.859545 41.3909305)
Bridgewater,2009,578300.0,830000.0,0.72,45.0,213.63,0.0,0.0,0.0,0.0,0.0,0.0,2.0,578300.0,830000.0,0.72,POINT(-73.3662305 41.5350949)
New London,2011,156783.57,140188.64,1.63,3410.0,1146.31,7.0,5.0,8.0,64080.0,59250.0,1.42,34.0,178596.18,159233.03,1.69,POINT(-72.0997804 41.3556187)
Middlebury,2014,186447.83,362601.26,0.65,190.43,254.64,0.0,0.0,8.0,99750.0,400703.63,0.3,15.0,232686.67,342280.0,0.84,POINT(-73.1276107 41.5278742)
Ellington,2011,174299.64,225543.5,0.93,224.0,149.56,5.0,0.0,7.0,127352.86,187594.29,0.89,21.0,189948.57,238193.24,0.94,POINT(-72.4698071 41.9039863)
Durham,2014,247294.29,293482.14,0.87,71.57,93.14,0.0,1.0,0.0,0.0,0.0,0.0,14.0,247294.29,293482.14,0.87,POINT(-72.6812059 41.4817647)
Somers,2010,207592.0,267920.0,0.84,227.6,189.02,3.0,0.0,0.0,0.0,0.0,0.0,15.0,207592.0,267920.0,0.84,POINT(-72.4461952 41.9853742)
Thompson,2010,112865.19,148792.59,1.27,283.15,275.93,0.0,0.0,1.0,94800.0,132000.0,0.72,26.0,113560.0,149438.46,1.29,POINT(-71.8625715 41.9587089)
Woodstock,2015,161140.06,203383.46,3.61,81.17,97.11,2.0,0.0,2.0,88750.0,90200.0,1.07,33.0,165527.33,210243.06,3.76,POINT(-71.9739626 41.9484307)
Branford,2010,239104.29,311760.99,1.19,2388.72,720.42,5.0,4.0,36.0,166088.03,221184.61,0.8,50.0,291676.0,376975.98,1.47,POINT(-72.8150989 41.2795414)
Middletown,2016,133476.34,202237.48,0.83,2512.83,502.96,9.0,9.0,38.0,96708.68,177280.24,0.79,123.0,144835.45,209947.85,0.84,POINT(-72.6509061 41.5623178)
Preston,2016,146605.56,214002.78,0.83,65.22,120.18,1.0,0.0,1.0,167300.0,226000.0,0.74,26.0,145809.62,213541.35,0.84,POINT(-71.982138 41.5268022)
Westport,2011,859729.33,1440387.05,0.65,1041.45,348.96,7.0,1.0,7.0,388171.43,551642.86,0.74,93.0,895222.94,1507281.77,0.64,POINT(-73.3578955 41.1414855)
Meriden,2011,112659.81,134836.35,1.42,5977.05,885.5,11.0,9.0,20.0,88722.5,110914.3,2.05,83.0,118427.83,140600.7,1.26,POINT(-72.8070435 41.5381535)
Southington,2016,165741.96,234043.36,0.91,2445.65,531.82,8.0,2.0,20.0,115291.0,164563.75,0.76,87.0,177339.89,250015.69,0.95,POINT(-72.8782941 41.6005435)
Bethany,2014,219289.09,306500.0,0.77,99.55,170.4,1.0,0.0,0.0,0.0,0.0,0.0,11.0,219289.09,306500.0,0.77,POINT(-72.9970496 41.4217637)
Wethersfield,2009,161971.43,214955.36,0.79,1528.0,503.79,7.0,0.0,9.0,121855.56,170046.78,0.75,47.0,169653.19,223554.87,0.79,POINT(-72.6525922 41.7142665)
Prospect,2010,159661.81,255662.81,0.82,215.14,213.72,0.0,1.0,7.0,159828.29,324076.14,0.52,14.0,159578.57,221456.14,0.96,POINT(-72.9787163 41.5023192)
Milford,2014,218943.81,290140.43,0.99,4185.27,690.21,10.0,8.0,37.0,139231.08,195504.7,1.08,157.0,237729.62,312443.12,0.96,POINT(-73.0570603 41.2222218)
Plymouth,2012,117669.03,141085.81,0.95,645.52,478.03,1.0,1.0,4.0,73627.5,96152.75,0.78,27.0,124193.7,147742.56,0.98,POINT(-73.0528893 41.6720318)
Colebrook,2013,299286.67,334333.33,0.91,31.67,185.33,0.0,0.0,0.0,0.0,0.0,0.0,3.0,299286.67,334333.33,0.91,POINT(-73.0956646 41.9895388)
Farmington,2015,252480.9,350329.18,0.75,1978.68,723.5,5.0,8.0,35.0,145521.43,217544.23,0.7,65.0,310074.46,421828.77,0.77,POINT(-72.8320435 41.7198216)
Redding,2014,417001.67,538381.67,0.84,176.8,184.41,2.0,2.0,0.0,0.0,0.0,0.0,30.0,417001.67,538381.67,0.84,POINT(-73.3834532 41.3025956)
Waterford,2013,148148.03,194906.23,0.94,1479.97,665.95,3.0,5.0,6.0,113165.0,158816.67,0.73,60.0,151646.33,198515.18,0.97,POINT(-72.1519367 41.358659)
Guilford,2015,294165.33,376700.39,0.85,630.51,254.69,7.0,6.0,10.0,148721.2,181940.7,0.9,73.0,314089.18,403379.79,0.84,POINT(-72.6817616 41.2889866)
West Haven,2011,142568.68,162228.97,1.04,5141.5,847.14,9.0,1.0,12.0,111733.33,124114.33,1.41,56.0,149176.25,170396.39,0.96,POINT(-72.9470471 41.2706527)
Salem,2012,178538.33,235741.67,0.82,104.0,232.34,1.0,0.0,2.0,35435.0,38750.0,0.92,10.0,207159.0,275140.0,0.79,POINT(-72.2762084 41.491269)
New Milford,2014,180249.35,234462.96,0.85,1207.77,384.16,5.0,2.0,19.0,88564.74,104663.16,0.93,58.0,210283.97,276983.59,0.82,POINT(-73.41176538312553 41.5867418)
Willington,2014,166794.0,228755.0,0.79,107.4,155.46,0.0,0.0,0.0,0.0,0.0,0.0,10.0,166794.0,228755.0,0.79,POINT(-72.2598935 41.874428)
Mansfield,2016,147418.2,206184.86,0.8,391.06,163.04,0.0,0.0,10.0,132892.8,187301.0,0.76,41.0,150960.98,210790.68,0.81,POINT(-72.2131565 41.7782147)
Berlin,2015,181580.26,260881.71,0.74,1033.07,490.2,3.0,0.0,10.0,174965.5,235551.3,0.72,48.0,182958.33,266158.88,0.75,POINT(-72.7456519 41.621488)
Old Saybrook,2015,262792.11,372216.21,0.81,361.74,301.57,3.0,3.0,4.0,203050.0,288750.0,0.71,34.0,269820.59,382035.76,0.82,POINT(-72.3761956 41.2917652)
Canterbury,2014,172477.78,207322.22,1.2,60.0,110.32,2.0,0.0,0.0,0.0,0.0,0.0,9.0,172477.78,207322.22,1.2,POINT(-71.9710811 41.6984209)
Granby,2016,161416.43,254590.0,0.67,266.71,222.72,4.0,1.0,4.0,111230.0,170000.0,0.64,38.0,166699.21,263494.21,0.67,POINT(-72.7894272 41.9539032)
New Fairfield,2016,245748.15,383058.8,0.73,79.5,49.21,4.0,0.0,2.0,191700.0,419500.0,0.5,52.0,247826.92,381657.21,0.74,POINT(-73.4856789 41.4664832)
Salisbury,2016,476116.67,644000.0,0.74,53.0,115.13,0.0,1.0,0.0,0.0,0.0,0.0,9.0,476116.67,644000.0,0.74,POINT(-73.4212318 41.983426)
Roxbury,2016,468780.0,553480.0,0.83,36.0,145.58,0.0,0.0,0.0,0.0,0.0,0.0,5.0,468780.0,553480.0,0.83,POINT(-73.3088922 41.5568282)
Middlebury,2012,231750.53,298815.79,0.86,213.32,284.96,0.0,0.0,5.0,282380.0,387400.0,0.74,14.0,213668.57,267178.57,0.9,POINT(-73.1276107 41.5278742)
Beacon Falls,2013,153816.36,200486.36,0.9,190.5,312.95,0.0,0.0,4.0,145532.5,190600.0,0.91,18.0,155657.22,202683.33,0.9,POINT(-73.062608 41.4428745)
East Windsor,2009,111198.33,150400.0,0.8,1016.0,896.38,2.0,1.0,5.0,100788.0,200560.0,0.56,19.0,113937.89,137200.0,0.86,POINT(-72.6130726 41.9156316)
Lisbon,2010,204008.33,195373.33,1.07,355.0,755.23,1.0,0.0,0.0,0.0,0.0,0.0,6.0,204008.33,195373.33,1.07,POINT(-72.0207809 41.5866851)
New Fairfield,2011,283233.33,412481.87,0.77,111.69,69.08,4.0,0.0,0.0,0.0,0.0,0.0,39.0,283233.33,412481.87,0.77,POINT(-73.4856789 41.4664832)
Madison,2015,373254.53,550934.31,0.83,230.73,111.67,5.0,0.0,8.0,204500.0,252895.75,0.82,69.0,392820.28,585489.51,0.83,POINT(-72.5983151 41.2794282)
Farmington,2012,182905.71,269842.64,0.7,1960.0,714.91,5.0,8.0,5.0,167816.0,255379.4,0.66,9.0,191288.89,277877.78,0.72,POINT(-72.8320435 41.7198216)
Essex,2012,304053.85,356030.77,0.86,63.0,83.4,0.0,0.0,3.0,148400.0,185166.67,0.83,10.0,350750.0,407290.0,0.88,POINT(-72.3972094 41.3321522)
Wethersfield,2012,178565.06,228972.17,0.87,1237.18,405.69,7.0,0.0,10.0,124250.0,150090.0,0.83,73.0,186005.48,239777.95,0.87,POINT(-72.6525922 41.7142665)
Tolland,2015,189089.68,264358.03,0.72,178.77,117.53,4.0,0.0,4.0,176800.0,287750.0,0.61,27.0,190910.37,260892.56,0.74,POINT(-72.3562252 41.818446)
Norfolk,2012,196500.0,248895.0,0.79,69.0,358.23,1.0,0.0,0.0,0.0,0.0,0.0,1.0,196500.0,248895.0,0.79,POINT(-73.2020577 41.9939828)
